Sr.No,Institute Name,Institute Code,Program Name,Program Code,Quota,Category,Seat Pool,Vacancy
1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Bio Technology (4 Years, Bachelor of Technology)",4104,HS,OPEN,Gender-Neutral,3
2,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Bio Technology (4 Years, Bachelor of Technology)",4104,HS,OPEN,Female-only (including Supernumerary),2
3,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Bio Technology (4 Years, Bachelor of Technology)",4104,HS,GEN-EWS,Female-only (including Supernumerary),1
4,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Bio Technology (4 Years, Bachelor of Technology)",4104,HS,SC,Gender-Neutral,1
5,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Bio Technology (4 Years, Bachelor of Technology)",4104,HS,ST,Gender-Neutral,1
6,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Bio Technology (4 Years, Bachelor of Technology)",4104,OS,OPEN,Gender-Neutral,3
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Bio Technology (4 Years, Bachelor of Technology)",4104,OS,OPEN,Female-only (including Supernumerary),2
8,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Bio Technology (4 Years, Bachelor of Technology)",4104,OS,GEN-EWS,Gender-Neutral,1
9,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Bio Technology (4 Years, Bachelor of Technology)",4104,OS,OBC-NCL,Gender-Neutral,1
10,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Bio Technology (4 Years, Bachelor of Technology)",4104,OS,OBC-NCL(PwD),Gender-Neutral,1
11,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Bio Technology (4 Years, Bachelor of Technology)",4104,OS,SC,Gender-Neutral,1
12,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Bio Technology (4 Years, Bachelor of Technology)",4104,OS,SC,Female-only (including Supernumerary),1
13,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Bio Technology (4 Years, Bachelor of Technology)",4104,OS,ST,Gender-Neutral,1
14,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Chemical Engineering (4 Years, Bachelor of Technology)",4107,HS,OPEN,Gender-Neutral,3
15,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Chemical Engineering (4 Years, Bachelor of Technology)",4107,HS,OPEN,Female-only (including Supernumerary),1
16,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Chemical Engineering (4 Years, Bachelor of Technology)",4107,HS,OBC-NCL(PwD),Gender-Neutral,1
17,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Chemical Engineering (4 Years, Bachelor of Technology)",4107,HS,SC,Female-only (including Supernumerary),2
18,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Chemical Engineering (4 Years, Bachelor of Technology)",4107,OS,OPEN,Gender-Neutral,3
19,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Chemical Engineering (4 Years, Bachelor of Technology)",4107,OS,SC,Female-only (including Supernumerary),1
20,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Chemical Engineering (4 Years, Bachelor of Technology)",4107,OS,SC (PwD),Gender-Neutral,1
21,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Civil Engineering (4 Years, Bachelor of Technology)",4109,HS,OPEN,Gender-Neutral,3
22,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Civil Engineering (4 Years, Bachelor of Technology)",4109,HS,ST,Female-only (including Supernumerary),1
23,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Civil Engineering (4 Years, Bachelor of Technology)",4109,OS,OPEN,Gender-Neutral,3
24,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Civil Engineering (4 Years, Bachelor of Technology)",4109,OS,SC,Gender-Neutral,1
25,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Electronics and VLSI Engineering (4 Years, Bachelor of Technology)",410V,HS,OBC-NCL(PwD),Gender-Neutral,1
26,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Electronics and VLSI Engineering (4 Years, Bachelor of Technology)",410V,OS,OPEN,Gender-Neutral,2
27,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Electronics and VLSI Engineering (4 Years, Bachelor of Technology)",410V,OS,OPEN (PwD),Gender-Neutral,1
28,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Electronics and VLSI Engineering (4 Years, Bachelor of Technology)",410V,OS,SC,Female-only (including Supernumerary),1
29,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Computer Science and Engineering (4 Years, Bachelor of Technology)",4110,HS,OPEN,Gender-Neutral,1
30,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Computer Science and Engineering (4 Years, Bachelor of Technology)",4110,HS,OBC-NCL,Female-only (including Supernumerary),1
31,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Computer Science and Engineering (4 Years, Bachelor of Technology)",4110,HS,SC,Gender-Neutral,1
32,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Computer Science and Engineering (4 Years, Bachelor of Technology)",4110,OS,OPEN,Gender-Neutral,1
33,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Computer Science and Engineering (4 Years, Bachelor of Technology)",4110,OS,GEN-EWS,Gender-Neutral,1
34,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Computer Science and Engineering (4 Years, Bachelor of Technology)",4110,OS,OBC-NCL,Gender-Neutral,3
35,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Computer Science and Engineering (4 Years, Bachelor of Technology)",4110,OS,SC,Gender-Neutral,2
36,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Electrical Engineering (4 Years, Bachelor of Technology)",4111,HS,OPEN,Female-only (including Supernumerary),1
37,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Electrical Engineering (4 Years, Bachelor of Technology)",4111,HS,OBC-NCL,Gender-Neutral,1
38,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Electrical Engineering (4 Years, Bachelor of Technology)",4111,HS,OBC-NCL,Female-only (including Supernumerary),1
39,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Electrical Engineering (4 Years, Bachelor of Technology)",4111,HS,SC,Female-only (including Supernumerary),1
40,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Electrical Engineering (4 Years, Bachelor of Technology)",4111,OS,OPEN,Gender-Neutral,1
41,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Electrical Engineering (4 Years, Bachelor of Technology)",4111,OS,OPEN,Female-only (including Supernumerary),1
42,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Electrical Engineering (4 Years, Bachelor of Technology)",4111,OS,GEN-EWS,Gender-Neutral,1
43,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Electrical Engineering (4 Years, Bachelor of Technology)",4111,OS,OBC-NCL,Gender-Neutral,1
44,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",4114,HS,OPEN,Female-only (including Supernumerary),1
45,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",4114,HS,GEN-EWS(PwD),Female-only (including Supernumerary),1
46,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",4114,HS,OBC-NCL,Gender-Neutral,2
47,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",4114,OS,OPEN,Gender-Neutral,1
48,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",4114,OS,GEN-EWS,Gender-Neutral,1
49,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",4114,OS,OBC-NCL,Female-only (including Supernumerary),1
50,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",4114,OS,OBC-NCL(PwD),Female-only (including Supernumerary),1
51,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Mathematics and Computing (4 Years, Bachelor of Technology)",4124,HS,ST,Gender-Neutral,1
52,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Mathematics and Computing (4 Years, Bachelor of Technology)",4124,OS,OPEN,Gender-Neutral,2
53,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Mathematics and Computing (4 Years, Bachelor of Technology)",4124,OS,OPEN,Female-only (including Supernumerary),1
54,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Mathematics and Computing (4 Years, Bachelor of Technology)",4124,OS,OPEN (PwD),Gender-Neutral,1
55,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Mathematics and Computing (4 Years, Bachelor of Technology)",4124,OS,GEN-EWS,Gender-Neutral,1
56,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Mechanical Engineering (4 Years, Bachelor of Technology)",4125,HS,OPEN,Gender-Neutral,1
57,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Mechanical Engineering (4 Years, Bachelor of Technology)",4125,HS,GEN-EWS(PwD),Gender-Neutral,1
58,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Mechanical Engineering (4 Years, Bachelor of Technology)",4125,HS,OBC-NCL,Gender-Neutral,1
59,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Mechanical Engineering (4 Years, Bachelor of Technology)",4125,HS,SC,Gender-Neutral,1
60,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Mechanical Engineering (4 Years, Bachelor of Technology)",4125,HS,ST,Female-only (including Supernumerary),1
61,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Mechanical Engineering (4 Years, Bachelor of Technology)",4125,OS,OPEN,Gender-Neutral,3
62,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Mechanical Engineering (4 Years, Bachelor of Technology)",4125,OS,OPEN,Female-only (including Supernumerary),2
63,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Mechanical Engineering (4 Years, Bachelor of Technology)",4125,OS,OBC-NCL,Female-only (including Supernumerary),1
64,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Mechanical Engineering (4 Years, Bachelor of Technology)",4125,OS,SC (PwD),Female-only (including Supernumerary),1
65,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Textile Technology (4 Years, Bachelor of Technology)",4139,HS,OPEN,Gender-Neutral,6
66,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Textile Technology (4 Years, Bachelor of Technology)",4139,HS,OPEN (PwD),Gender-Neutral,1
67,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Textile Technology (4 Years, Bachelor of Technology)",4139,HS,GEN-EWS(PwD),Gender-Neutral,1
68,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Textile Technology (4 Years, Bachelor of Technology)",4139,HS,OBC-NCL,Gender-Neutral,2
69,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Textile Technology (4 Years, Bachelor of Technology)",4139,HS,SC,Gender-Neutral,1
70,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Textile Technology (4 Years, Bachelor of Technology)",4139,HS,ST,Gender-Neutral,1
71,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Textile Technology (4 Years, Bachelor of Technology)",4139,OS,OPEN,Gender-Neutral,3
72,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Textile Technology (4 Years, Bachelor of Technology)",4139,OS,OPEN,Female-only (including Supernumerary),3
73,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Textile Technology (4 Years, Bachelor of Technology)",4139,OS,GEN-EWS,Gender-Neutral,1
74,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Textile Technology (4 Years, Bachelor of Technology)",4139,OS,OBC-NCL,Gender-Neutral,2
75,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Textile Technology (4 Years, Bachelor of Technology)",4139,OS,OBC-NCL,Female-only (including Supernumerary),1
76,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Textile Technology (4 Years, Bachelor of Technology)",4139,OS,SC,Gender-Neutral,1
77,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Textile Technology (4 Years, Bachelor of Technology)",4139,OS,ST (PwD),Gender-Neutral,1
78,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Information Technology (4 Years, Bachelor of Technology)",4146,HS,OPEN,Gender-Neutral,1
79,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Information Technology (4 Years, Bachelor of Technology)",4146,HS,OBC-NCL(PwD),Gender-Neutral,1
80,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Information Technology (4 Years, Bachelor of Technology)",4146,HS,SC (PwD),Gender-Neutral,1
81,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Information Technology (4 Years, Bachelor of Technology)",4146,OS,OPEN,Gender-Neutral,1
82,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Information Technology (4 Years, Bachelor of Technology)",4146,OS,OPEN,Female-only (including Supernumerary),1
83,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Information Technology (4 Years, Bachelor of Technology)",4146,OS,OBC-NCL,Gender-Neutral,1
84,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Information Technology (4 Years, Bachelor of Technology)",4146,OS,SC,Gender-Neutral,1
85,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",4148,HS,OPEN,Gender-Neutral,2
86,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",4148,HS,OPEN (PwD),Female-only (including Supernumerary),1
87,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",4148,HS,GEN-EWS(PwD),Gender-Neutral,1
88,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",4148,HS,OBC-NCL,Gender-Neutral,1
89,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",4148,HS,ST,Female-only (including Supernumerary),1
90,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",4148,HS,ST (PwD),Gender-Neutral,1
91,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",4148,OS,OPEN,Gender-Neutral,1
92,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",4148,OS,OPEN,Female-only (including Supernumerary),1
93,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",4148,OS,OBC-NCL(PwD),Gender-Neutral,1
94,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",4148,OS,ST,Gender-Neutral,1
95,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Industrial and Production Engineering (4 Years, Bachelor of Technology)",4149,HS,OPEN,Gender-Neutral,2
96,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Industrial and Production Engineering (4 Years, Bachelor of Technology)",4149,HS,GEN-EWS(PwD),Gender-Neutral,1
97,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Industrial and Production Engineering (4 Years, Bachelor of Technology)",4149,HS,SC (PwD),Gender-Neutral,1
98,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Industrial and Production Engineering (4 Years, Bachelor of Technology)",4149,HS,ST,Gender-Neutral,2
99,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Industrial and Production Engineering (4 Years, Bachelor of Technology)",4149,OS,OPEN,Gender-Neutral,4
100,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Industrial and Production Engineering (4 Years, Bachelor of Technology)",4149,OS,OPEN (PwD),Gender-Neutral,1
101,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Industrial and Production Engineering (4 Years, Bachelor of Technology)",4149,OS,OBC-NCL,Female-only (including Supernumerary),1
102,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Industrial and Production Engineering (4 Years, Bachelor of Technology)",4149,OS,OBC-NCL(PwD),Gender-Neutral,1
103,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Industrial and Production Engineering (4 Years, Bachelor of Technology)",4149,OS,ST,Gender-Neutral,1
104,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Artificial Intelligence (4 Years, Bachelor of Technology)",4185,OS,OPEN,Gender-Neutral,1
105,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Artificial Intelligence (4 Years, Bachelor of Technology)",4185,OS,OBC-NCL,Female-only (including Supernumerary),1
106,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Data Science and Engineering (4 Years, Bachelor of Technology)",4187,HS,OPEN,Gender-Neutral,1
107,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Data Science and Engineering (4 Years, Bachelor of Technology)",4187,HS,OPEN,Female-only (including Supernumerary),1
108,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Data Science and Engineering (4 Years, Bachelor of Technology)",4187,HS,OBC-NCL,Female-only (including Supernumerary),1
109,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Data Science and Engineering (4 Years, Bachelor of Technology)",4187,HS,OBC-NCL(PwD),Female-only (including Supernumerary),1
110,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Data Science and Engineering (4 Years, Bachelor of Technology)",4187,OS,OPEN,Gender-Neutral,3
111,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Data Science and Engineering (4 Years, Bachelor of Technology)",4187,OS,SC,Gender-Neutral,1
112,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Data Science and Engineering (4 Years, Bachelor of Technology)",4187,OS,ST,Gender-Neutral,1
113,Malaviya National Institute of Technology Jaipur,202,"Chemical Engineering (4 Years, Bachelor of Technology)",4107,HS,OPEN,Gender-Neutral,2
114,Malaviya National Institute of Technology Jaipur,202,"Chemical Engineering (4 Years, Bachelor of Technology)",4107,HS,OPEN,Female-only (including Supernumerary),1
115,Malaviya National Institute of Technology Jaipur,202,"Chemical Engineering (4 Years, Bachelor of Technology)",4107,HS,OBC-NCL,Gender-Neutral,1
116,Malaviya National Institute of Technology Jaipur,202,"Chemical Engineering (4 Years, Bachelor of Technology)",4107,OS,OPEN,Gender-Neutral,3
117,Malaviya National Institute of Technology Jaipur,202,"Chemical Engineering (4 Years, Bachelor of Technology)",4107,OS,OPEN,Female-only (including Supernumerary),1
118,Malaviya National Institute of Technology Jaipur,202,"Chemical Engineering (4 Years, Bachelor of Technology)",4107,OS,GEN-EWS,Female-only (including Supernumerary),1
119,Malaviya National Institute of Technology Jaipur,202,"Chemical Engineering (4 Years, Bachelor of Technology)",4107,OS,OBC-NCL,Gender-Neutral,1
120,Malaviya National Institute of Technology Jaipur,202,"Civil Engineering (4 Years, Bachelor of Technology)",4109,HS,OPEN,Gender-Neutral,1
121,Malaviya National Institute of Technology Jaipur,202,"Civil Engineering (4 Years, Bachelor of Technology)",4109,HS,SC,Female-only (including Supernumerary),1
122,Malaviya National Institute of Technology Jaipur,202,"Civil Engineering (4 Years, Bachelor of Technology)",4109,HS,SC (PwD),Gender-Neutral,1
123,Malaviya National Institute of Technology Jaipur,202,"Civil Engineering (4 Years, Bachelor of Technology)",4109,OS,OPEN,Gender-Neutral,2
124,Malaviya National Institute of Technology Jaipur,202,"Civil Engineering (4 Years, Bachelor of Technology)",4109,OS,OPEN (PwD),Gender-Neutral,1
125,Malaviya National Institute of Technology Jaipur,202,"Civil Engineering (4 Years, Bachelor of Technology)",4109,OS,OBC-NCL,Female-only (including Supernumerary),2
126,Malaviya National Institute of Technology Jaipur,202,"Computer Science and Engineering (4 Years, Bachelor of Technology)",4110,HS,OPEN,Gender-Neutral,1
127,Malaviya National Institute of Technology Jaipur,202,"Computer Science and Engineering (4 Years, Bachelor of Technology)",4110,HS,SC,Gender-Neutral,1
128,Malaviya National Institute of Technology Jaipur,202,"Computer Science and Engineering (4 Years, Bachelor of Technology)",4110,OS,OPEN,Gender-Neutral,2
129,Malaviya National Institute of Technology Jaipur,202,"Computer Science and Engineering (4 Years, Bachelor of Technology)",4110,OS,OPEN,Female-only (including Supernumerary),2
130,Malaviya National Institute of Technology Jaipur,202,"Computer Science and Engineering (4 Years, Bachelor of Technology)",4110,OS,OBC-NCL,Gender-Neutral,2
131,Malaviya National Institute of Technology Jaipur,202,"Electrical Engineering (4 Years, Bachelor of Technology)",4111,HS,OPEN,Gender-Neutral,5
132,Malaviya National Institute of Technology Jaipur,202,"Electrical Engineering (4 Years, Bachelor of Technology)",4111,HS,OPEN,Female-only (including Supernumerary),1
133,Malaviya National Institute of Technology Jaipur,202,"Electrical Engineering (4 Years, Bachelor of Technology)",4111,HS,GEN-EWS,Gender-Neutral,1
134,Malaviya National Institute of Technology Jaipur,202,"Electrical Engineering (4 Years, Bachelor of Technology)",4111,HS,SC (PwD),Gender-Neutral,1
135,Malaviya National Institute of Technology Jaipur,202,"Electrical Engineering (4 Years, Bachelor of Technology)",4111,OS,OPEN,Gender-Neutral,2
136,Malaviya National Institute of Technology Jaipur,202,"Electrical Engineering (4 Years, Bachelor of Technology)",4111,OS,OPEN,Female-only (including Supernumerary),1
137,Malaviya National Institute of Technology Jaipur,202,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",4114,HS,OPEN,Gender-Neutral,2
138,Malaviya National Institute of Technology Jaipur,202,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",4114,HS,OPEN,Female-only (including Supernumerary),1
139,Malaviya National Institute of Technology Jaipur,202,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",4114,HS,OBC-NCL,Gender-Neutral,1
140,Malaviya National Institute of Technology Jaipur,202,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",4114,HS,OBC-NCL(PwD),Gender-Neutral,1
141,Malaviya National Institute of Technology Jaipur,202,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",4114,HS,ST (PwD),Gender-Neutral,1
142,Malaviya National Institute of Technology Jaipur,202,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",4114,OS,OPEN,Gender-Neutral,5
143,Malaviya National Institute of Technology Jaipur,202,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",4114,OS,SC,Gender-Neutral,1
144,Malaviya National Institute of Technology Jaipur,202,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",4114,OS,ST,Female-only (including Supernumerary),1
145,Malaviya National Institute of Technology Jaipur,202,"Engineering Physics (4 Years, Bachelor of Technology)",4117,HS,OPEN,Gender-Neutral,2
146,Malaviya National Institute of Technology Jaipur,202,"Engineering Physics (4 Years, Bachelor of Technology)",4117,HS,OPEN (PwD),Gender-Neutral,1
147,Malaviya National Institute of Technology Jaipur,202,"Engineering Physics (4 Years, Bachelor of Technology)",4117,OS,OPEN,Gender-Neutral,1
148,Malaviya National Institute of Technology Jaipur,202,"Engineering Physics (4 Years, Bachelor of Technology)",4117,OS,OPEN (PwD),Gender-Neutral,1
149,Malaviya National Institute of Technology Jaipur,202,"Engineering Physics (4 Years, Bachelor of Technology)",4117,OS,OBC-NCL,Gender-Neutral,1
150,Malaviya National Institute of Technology Jaipur,202,"Engineering Physics (4 Years, Bachelor of Technology)",4117,OS,SC (PwD),Gender-Neutral,1
151,Malaviya National Institute of Technology Jaipur,202,"Engineering Physics (4 Years, Bachelor of Technology)",4117,OS,ST,Gender-Neutral,1
152,Malaviya National Institute of Technology Jaipur,202,"Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",411G,HS,OPEN,Gender-Neutral,3
153,Malaviya National Institute of Technology Jaipur,202,"Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",411G,OS,OPEN,Gender-Neutral,3
154,Malaviya National Institute of Technology Jaipur,202,"Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",411G,OS,OPEN,Female-only (including Supernumerary),1
155,Malaviya National Institute of Technology Jaipur,202,"Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",411G,OS,GEN-EWS,Gender-Neutral,1
156,Malaviya National Institute of Technology Jaipur,202,"Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",411G,OS,OBC-NCL,Gender-Neutral,1
157,Malaviya National Institute of Technology Jaipur,202,"Mathematics and Computing (4 Years, Bachelor of Technology)",4124,HS,OPEN,Gender-Neutral,2
158,Malaviya National Institute of Technology Jaipur,202,"Mathematics and Computing (4 Years, Bachelor of Technology)",4124,OS,OPEN,Gender-Neutral,1
159,Malaviya National Institute of Technology Jaipur,202,"Mathematics and Computing (4 Years, Bachelor of Technology)",4124,OS,OPEN,Female-only (including Supernumerary),1
160,Malaviya National Institute of Technology Jaipur,202,"Mechanical Engineering (4 Years, Bachelor of Technology)",4125,HS,SC (PwD),Gender-Neutral,1
161,Malaviya National Institute of Technology Jaipur,202,"Mechanical Engineering (4 Years, Bachelor of Technology)",4125,HS,ST,Gender-Neutral,1
162,Malaviya National Institute of Technology Jaipur,202,"Mechanical Engineering (4 Years, Bachelor of Technology)",4125,OS,OPEN,Gender-Neutral,3
163,Malaviya National Institute of Technology Jaipur,202,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",4127,HS,OPEN,Gender-Neutral,1
164,Malaviya National Institute of Technology Jaipur,202,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",4127,HS,OPEN (PwD),Gender-Neutral,1
165,Malaviya National Institute of Technology Jaipur,202,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",4127,HS,OBC-NCL,Gender-Neutral,1
166,Malaviya National Institute of Technology Jaipur,202,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",4127,HS,SC (PwD),Female-only (including Supernumerary),1
167,Malaviya National Institute of Technology Jaipur,202,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",4127,HS,ST (PwD),Gender-Neutral,1
168,Malaviya National Institute of Technology Jaipur,202,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",4127,OS,OPEN,Gender-Neutral,3
169,Malaviya National Institute of Technology Jaipur,202,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",4127,OS,OPEN,Female-only (including Supernumerary),1
170,Malaviya National Institute of Technology Jaipur,202,"Architecture (5 Years, Bachelor of Architecture)",5101,HS,OPEN,Gender-Neutral,1
171,Malaviya National Institute of Technology Jaipur,202,"Architecture (5 Years, Bachelor of Architecture)",5101,HS,OPEN (PwD),Gender-Neutral,1
172,Malaviya National Institute of Technology Jaipur,202,"Architecture (5 Years, Bachelor of Architecture)",5101,HS,OBC-NCL,Gender-Neutral,1
